Player,Rounds,Rating,ACS,K/D,ADR,KPR,DPR,APR,FBPR,FDPR,HS%,FBSR
 Ivy,522,1.57,306.4,1.95,192.8,1.10,0.56,0.24,0.22,0.08,35%,73%
 mwzera,3089,1.36,286.8,1.40,175.2,0.99,0.71,0.24,0.18,0.10,17%,65%
 cNed,5644,1.36,270.3,1.44,162.7,0.96,0.67,0.18,0.19,0.11,24%,65%
 something,975,1.35,283.2,1.44,175.9,1.00,0.69,0.18,0.19,0.14,22%,58%
 Jianna,410,1.35,276.7,1.38,182.7,0.91,0.66,0.35,0.15,0.07,18%,70%
 GangPin,656,1.35,264.0,1.33,164.2,0.91,0.68,0.25,0.19,0.14,25%,57%
 Keznit,2633,1.33,276.6,1.34,169.1,0.95,0.71,0.24,0.19,0.13,23%,59%
 ScreaM,4893,1.32,270.7,1.40,171.8,0.94,0.67,0.23,0.17,0.09,33%,66%
 trexx,3245,1.32,260.3,1.45,165.4,0.89,0.62,0.32,0.14,0.09,18%,61%
 Leo,4082,1.32,239.9,1.39,155.7,0.84,0.61,0.33,0.09,0.05,23%,67%
 Xander,3785,1.30,270.6,1.35,157.6,0.92,0.68,0.23,0.23,0.15,17%,60%
 duhT,394,1.30,267.3,1.25,167.1,0.94,0.75,0.18,0.23,0.14,22%,62%
 sociablEE,5112,1.29,272.5,1.29,171.5,0.93,0.72,0.22,0.20,0.13,23%,60%
 heat,2820,1.28,261.1,1.39,160.5,0.95,0.69,0.14,0.19,0.12,28%,61%
 m5,1329,1.28,259.9,1.24,160.3,0.88,0.71,0.23,0.18,0.13,24%,58%
 TenZ,5434,1.27,275.9,1.36,163.6,0.95,0.70,0.23,0.20,0.11,18%,65%
 Derke,4111,1.27,268.3,1.29,163.7,0.92,0.71,0.20,0.23,0.16,27%,58%
 Twisten,4302,1.27,266.5,1.34,167.5,0.93,0.70,0.20,0.21,0.14,26%,59%
 t3xture,1995,1.27,263.5,1.31,160.2,0.93,0.71,0.20,0.16,0.14,24%,53%
 koalanoob,8536,1.27,256.7,1.34,156.7,0.91,0.68,0.18,0.18,0.12,22%,60%
 BuZz,3028,1.27,251.8,1.33,151.8,0.88,0.66,0.20,0.18,0.14,24%,57%
 russ,4151,1.27,251.6,1.35,161.6,0.91,0.67,0.18,0.15,0.09,30%,62%
 zekken,6428,1.27,251.4,1.33,162.4,0.87,0.65,0.32,0.12,0.08,21%,60%
 kiNgg,3166,1.27,247.0,1.43,158.5,0.87,0.61,0.31,0.13,0.09,21%,61%
 Camilaaaa,361,1.27,243.4,1.30,161.5,0.80,0.61,0.45,0.12,0.07,21%,63%
 CNKa,2396,1.26,266.1,1.28,168.6,0.91,0.71,0.19,0.18,0.14,27%,57%
 Izzy,2938,1.26,263.7,1.39,161.7,0.93,0.67,0.17,0.21,0.14,23%,60%
 Daveeys,3171,1.26,261.9,1.43,167.2,0.92,0.64,0.24,0.16,0.10,26%,61%
 elllement,2943,1.26,254.6,1.39,161.0,0.91,0.65,0.21,0.17,0.10,26%,62%
 NiSMO,5345,1.26,254.3,1.31,163.6,0.89,0.68,0.26,0.15,0.10,25%,60%
 WARDELL,6237,1.26,253.7,1.52,154.3,0.92,0.60,0.15,0.17,0.07,20%,72%
